review,sentiment
lengkap sesuai dan bekerja dengan baik,1
"gercep banget pengirimannya 
pokoknya yessss deh",0
kwalitas bintang 5. beli ini gara gara dji osmo pocket 3 ghoib .,0
bagus,0
pengiriman cepat. barang sesuai permintaan. kondisi bagus..,0
keren lah pokoknya terbaik,1
"barang sudah di terima, tapi belum bisa di unboxing karena sedang di luarkota hehe",1
"packingnya rapi , prosesnya cepat barangnya ori happy deh",1
packing aman,1
"respon pertanyaan sgt cepat & jelas
pengiriman cepat
produk yg di kirim sesuai
rekomen beli di toko ini",1
mantap... action cam terbaik lah ini insta360...,1
jos,1
Produk sesuai deskripsi dan pesanan. Seller sangat ramah dan responsif. Recommended seller 👍🏻👍🏻👍🏻👍🏻,1
Puas bgt..respon nya cepet.. seller baik bgt yg tadinya g bisa kirim lsg diusahain bs lsg instan..makasih,1
Kualitas barang sangat ok sesuai hargany ada bonus invisible selfie stick. Respon seller ok.,1
"packingnya rapi dan aman, didobel kardus dan busa. top.",1
jossss,1
"Pengiriman cepat, order pagi dan malam sudah sampai dgn piliham same day, hanya sayangnya kekurangan pengiriman selfie stick tetapi disusulkan beberapa hari kemudian. Sec... ",0
"My first 360 camera and i’m loving it 😍 barang original, pelayanan bagus 👌",1
"Respon cepat, pengiriman langsung.. best tokonya",1
All good,1
sudah berapa kali beli di toko ini dan hasilnya selalu memuaska... sukses ya lapaknya...,1
sayang si dipihak denkanya gag ada respon waktu mau klaim sticknya,1
"Sesuai pesanan,po jg cepat sampai,mantap gan,packing aman",1
"top banget pelayananya, cepet, request langsung kirim sore itu juga sesuai omonganya sellernya. ramah pula, perthankan min",1
"Mantab Bossque

paketnya aman pake double wrapped

terima kasih",1
"pelayanan ramah dan fast respon, barang juga mantap",1
"Kameranya sesuai ekspektasi ,barangnya sesuai gambar 👍🏻 ,Semua fitur berfungsi baik, packingnya aman 📦 ,Produk sesuai deskripsi, wow diluar ekspetasi hasil fotonya bag... ",1
"packing bagus : pake dus,plastik tebel,jadi dus kameranya aman terjaga dari kerusakan. pengirimannya juga lebih cepat dari estimasi. barang original dan berfungsi dg baik... ",1
gilaqq keren bangt seller nya jg ramah bngtttttt semoga sukses trus y bos q,1
"mantabs ,harga termurah , original",1
sesuai pesanan...................................,1
"Kameranya keren,sangat memuaskan 😊👍",1
Keseluruhannya sangat baik....terima kasih,1
"Barang oke, original, tapi minta bonus dikasih screen protector yang udah BS / udah gak rekat lagi, jadi gabisa dipake bonusan nya

Sisanya bagus",1
"barang sudah di terima dengan baik....

",1
recommended seller 👍,1
"mantap, seller responsive barang original",1
Akhirnya barang sampe tepat waktu hehe respon cepat semoga awet thanks ,1
"Bagus barang mantap, dapat hadiah bonus mouse...  Produk sesuai deskripsi Semua fitur berfungsi baik",1
Produk sesuai deskripsi Semua fitur berfungsi baik,1
barang sangat bagus dan berfungsi dengan baik..pengiriman juga cepat...terima kasih,0
berfungsi dengan baik,1
Bagus Kameranya.. sesuai dengan yg diharapkan,1
barang sudah diterima..belum dicoba semoga  tidak ada masalah,1
oke,1
camera blom bisa pakai dimasukin memori card yg c10 kebacanya tidak ada kartu mohon advicenya,1
"Barang bagus untuk harganya 👌🏼
Mudah digunakan",1
"pengiriman cepat,packing rapih....itemnya sesuai harga yg ada,fitur2nya lumayan lah klo buat anak2 yg mulai belajar foto....",1
Barang sesuai deskripsi. Pengiriman aman dan tepat waktu. Warna juga sesuai pesanan.,0
"packing rapi masih segel, pengiriman cepat, harga bersahabat",1
ok👍🏼,1
mayan lah seauai harga...hasil butek😁,1
barang bagus sesuai dengan pesanan....,1
"bagus dengan harga segitu, buat hadiah anak seneng banget",1
Sudah sampai dengan selamat tetapi belum dicoba,1
produk lumayan untuk backup kegiatan dadakan disaat camera hp penuh. respon dan proses pengiriman baik,1
packing sangat rapih.. pengiriman sangat cepat.. makasih seller..,0
packing bagus kualitas foto bagus,1
sesuai deskripsi,0
sampai dengan utuh,1
kualitas kamera bagus,1
lumayan buat bocah ...,0
"kamera nya bagus buat anak2, hasil fotonya juga lumayan bagus sesuai dengan harganya",1
"barang bagus baget untuk bener2 pemula anak2 untuk kegiatan sekolah.
mudah digunakan, ringan, kualitas fHD nya keren...
pengiriman simpel tapi cukup aman 
terima kasih",1
"ini kamera pertamakuu. Packingnya aman, bonusnya banyakk, kualitasnya juga okee. thanks filmonkish.
bonus hasil foto ketika uji coba",1
yg penting anak senang aja dulu,0
"packing aman dan rapi, produk ori. sayangnya ada kekurangan memori sd card nya dalam paket pengiriman, beruntung seller mengirimkan kekurangannya walaupun prosesnya agak... ",1
mantappppooo,1
"Brg bagus, anak saya suka sekali, after salesnya jg memadai, fast response bgt waktu ditanya.. makasih ya",1
"mungil dan praktis, semoga awet...thanks",1
Kualitas dan harga terbaik.. Anak saya senang di beri gift kamera ini.. thanks,1
"Admin nya fast respon, pengiriman nya juga aman banget+++, tqu filmonkish:D,",0
"lucu warnanya, pemakaian gampang, hasilnya juga oke. ada harga ada rupa lah, gabisa dibandingin",1
packingan super rapi dan aman. warna bagus sesuai dgn expextasi. semua berjalan dgn baik dan sdh dicoba namun sayangnya pengiriman terlalu lama. mgkn disebabkan dr kurirn... ,0
thebestbgtlahpokoknya,1
"packing bagus,hanya belum dicoba, terima kasih",1
"packaging nya aman bgt.. kamera lucu, komplit isinya.. tp agak sedikit lemot untuk perpindahan untuk lihat hasil photo2nya. but so far suka...",1
"respon admin baik, informatif. pengiriman dgn JNE freeongkir cepat. kualitas barang sesuai dgn harga.",1
"packing nya bener bener aman. dan sampai dengan baik. warna kamera nya cute.,👍👍
masih dapat  bonus juga,,👏👏👏",1
Berfungsi sempurna.. sangat tepat jadi kamera pertama anak².. ringan tapi kuat..,1
"Bagus, proses dan pengiriman cepat, mudah mudahan awet",1
udah coba kameranya dan udh nyalaaa. makasih banyak filmonkish ada bonus tripod jugaa,1
bagus hehehe,0
"Barang T O P
Sesuai deskripsi, penjual responsif banget. Semua Chat dijawab cepet banget",1
packingnya aman banget. nyenengin beli disini.,1
"menarik, hasil foto lumayan, video lumayan packing aman",1
"kameranya bagus, pengirimin mantap, lebih cepet dari estimasinya, proses dan pelayanan bagus, sip",1
"barang lengkap dan bagusss, datang lebih cepat dari estimasi yang dikasihh",0
"soo cuteeeeee, baguss pokonya luphh",0
Gokil abis kameranya,1
"bagus banget, cameranya worth it to buy, kualitas fotonya bisa lihat ini contohnya baguss.",1
kerenn,1
"SUKA BANGET SAMA WARNANYA, hasilnya juga bagus bangettt bisalah di buat ala2 vintage kalau motret, makasih banyak filmonkish 😍😍😍",1
mantappp minn,1
"gak perlu diragukan, dengan harga sgini udah sangat worth it banget vintage dengan ketajaman yang baik",1
suka banget sama kameranya lucu bangak bonusnya lagi,1
"Agannya fast response, ramah Dan Package Rapih + aman. kameranya sesuai ekpetasi Dan Tidak ada kendala(gamgguan). the best pokoknya",1
"barangnya bagus banget, gk bakal rugi kalo beli ini",0
"Terbaik kali emang euyyyy, banyak bonusnya juga. Boboiboy terbaikkkkkkkk.",1
warnanya digicamnya bagus,0
sampai dengan selamat!👌,1
"mantap packing aman, barang oke. seller juga responsive order siang langsung dikirim 🫶🏻",1
"So far so good, packaging rapih banget, customer servicenya cepet, dan membantu bgt, kalau ada apap langsung tanya, sejauh ini belum ada kendala, mindahin data juga prakt... ",1
"packing aman dan rapi di kardusin plus buble warpnya, kinerja produknya bagus dan sesuai deskripsi keren si untuk adminnya fast respon jarang jarang yang fast respon kala... ",1
"bagus, admin baik dikasih free nya sesuai request hehehe",1
"kameranya berfungsi dengan baik
recomended",1
"packingannya aman. kameranya bagus, banyak fitur efeknya. insyaAllah gak nyesel belinya",0
imut kameranya tp bkn utk foto serius ya gaes agk burem2 hehe;,0
"Berfungsi baik, sesuai harga.
ternyata POnya cepet kok, walaupun tulisannya 14 hari, dalam 4 hari udah sampai kameranya. 👍",1
lokal tapi kualitas oke 👍👍 warnanya bagus mengkilap,1
"Kameranya berfungsi dgn baik, bener2 compact, lbih kecil dri hp malah 😂, gmpng dibawa2 enteng sekali cocok buat travelling 👍",1
"pelayanan,packing memuaskan semoga post service nya juga sama. untuk barang bnib dan yg pastinya kemampuannya juara untuk sekelas pocket camera. trims",1
"Packing aman, kamera berfungsi baik, thank you",1
Pelayanan JPC selalu bagus dari dulu. Thanks,1
"seller komunikatif, pengiriman cepat, sesuai deskripsi, barang original,
sudah sejak dahulu langganan beli lewat toped",0
Fast delivery. Barang ori. CS nya mantap.,1
"Mantaaaab, langganan belanja online JPC Kemang sejak 2006, dan ga pernah mengecewakan 👍🏻",1
"Untuk barang dijamin original & garansi resmi…
Untuk pelayanan seller juga mantap…udah beberapa kali belanja disini,mulai dari kamera dan juga aksessoris nya…semua ok... ",1
Hasilnya sudah tidak usah diragukan lagi,1
"bagus, simpel & gampang dioperasikan. anak saya suka banget",1
Bagus,0
"bagus semua berfungsi dengan baik, respon adminnya juga sangat ramah, cepat. next order disini lagi. ada kerusakanndikardus tapinga masalah, barangnya bagus",0
"awalnya bisa dipake foto normal2 aja.. lama kelamaan kameranya error, layar tidak bisa dimatikan, tombolnya tidak berfungsi",0
"Barang baik sesuai deskripsi, pengiriman tepat waktu, respon seller cepat, sudah repeat order 👍🏽",0
"pelayanan nya cepet, hasil kamera lumayan jernih",1
Penjual memberikan informasi yang salah terkait kapasitas internal memory.  kamera tidak bisa digunakan setelah membuat 40foto padahal infonya 2000 foto. sehingga harus b... ,0
🫵🏻 topp,1
"dikemas & diterima dengan baik, dikirim sangat cepat, berfungsi normal, memuaskan hati senang, terimakasih & rekomen",1
"barang bagus, berfungsi, sesuai harga, packing berlapis aman, pengiriman tidak sampai 24 jam dari pembelian, namun sayang bahasa bawaannya cina bingung ganti bahasanya.",0
Barang sudah diterima dengan aman sesuai permintaan.,1
"barang sesuai harga, bobot ringan sekali, kualitas standar. semoga awet. btw packing sangat baik.",1
"Barang sudah sampai dengan aman, pengiriman cepat, fast response.
Dari sisi kelengkapan & bonus OK banget, sesuai deskripsi.
Menurut saya, cocok untuk yang bener2 pem... ",1
Keren kamera kecil cabe rawit ini,0
packingnya aman dan rapi. lebih suka hasil videonya dibanding foto 🤗,1
berfungsi dengan baik. thanks,1
"oke bangettttt, bener-bener sesuai harga dan sesuai ekspektasi cocok buat pemula di dunia perkameraan",1
packingg amannnn,1
"barang defect, lcd-nya copot, terus pas lapor ke CS, mereka minta aku balikin dulu barangnya biar di cek ulang sama QC dan dibenerin terus dikirim ulang. pas dibenerin me... ",1
"lumayan bagus untuk harga segini, meskipun agai ringkih ya",0
SUKA BGT! sampai dengan selamat. Terima kasih banyak banyakkk,1
"packing rapi aman...barang lumayan bagus n normal semua....sesuai harga.
recommended",1
"Sempat ada sedikit kendala pada kurir, alhamdulillah admin langsung gercep 👍",1
"udah nyoba, hasil fotonyaa baguss 🫶🏻🫶🏻",1
cakepp bgt,1
sesuai deskripsi dan cepat sampai....top,1
"bagus dan pesanan sesuai, banyak bonus nya, tengkyuu.",1
"berfungsi dgn baik, tks",1
"pelayanan ramah, packing rapi, sukses selalu bang!",1
"Pengiriman Cepat, barang masih segel, harga bersahabat",1
"Mantap, sudah sampai paketnya.  Packingnya aman banget, paket lengkap sesuai dekripsi dapat.bonus pula.Terima kasih. Hasilnya belum dicoba.",1
barang yang datasng sngt bagus dan packing rapi,0
"Seller responsif, pengiriman cepat dan aman, packaging rapi dan baik.",0
"packing aman, kamerany juga bekerja dengan baik",1
mantap,1
"printinlannya lengkap sesuai diskripsi, tp msh harus belajar lg fitur2 nya ada yg msh bingung, hasilnya oke, tp sya msh dpt foto ngeblur🤭🙏🏻",1
lumayan lah... sesuai harga.,1
"Sebenernya ini white label ya, alias tinggal sablon merk aja dan banyak yg jual lebih murah.

Tapi di FMO banyak freebiesnya jadi aku rasa berhasil bikin brandingnya. Jad... ",1
"Paking aman, kualitas gambar bagus 48mp, filter banyakk ,harga terjangkau, hanya saja flash kamera nya tidak seterang yang saya bayangkan, overall okee bgtt untuk harga s... ",1
"kerenn bagus produknya, dan tambahannya keren",0
"Packingnya aman. enteng, kirain ditipu, atau diisi sama kertas, ternyata emang bobotnya ringan. suka.. bagus... tidak mengecewakan. sesuai estimasi sampainya....Love it😍... ",1
"Pesanan sudah mendarat dengan selamat, produk bagus sesuai deskripsi dan berfungsi dengan baik pengiriman juga cepat terima kasih",1
"barang sesuai, penjualnya juga baik, ditanya langsung respon
inti mantap",1
"kameranya bagus, perlengkapan nya juga komplit, semua fitur berfungsi dengan baik, sellernya juga ramah+gercep",0
"adminnya responsif banget, kameranya jga lucuuuu, hasilnya juga bagus ala2 vintage gitu huaaa seneng bgtdeehhh",1
"kualitas sesuai dengan harga, worth it buat di beli 👍",1
"packing aman barang oke, semoga awet hehe",1
"Packing rapi, bonusnya oke...pemgiriman tak terkendala...terima kasih banyak",1
"respon penjual sangat baik, packing super aman, kualitas produk ya sesuai dengan deskripsi dan hasil fotonya menarik ada karakternya bukan tipe yang detail atau jernih ⭐⭐... ",1
pacarku sangat senang dengan hadiah camera digital digimo berikut.. thankss,1
"baguss dan packingnya sangat aman, harga sesuai dengan kualitas yang oke banget ,gak nyesel beli ini, terimakasih filmonkish, rekomended banget 📷",1
Bagus. anak saya suka,0
"Barang sesuai dengan deskripsi, dan bagus untuk ukuran poket bisa dipakai kapanpun. Sudah tes beberapa kali untuk foto..",1
"Packagingnya bagus aman dan rapih banget, suka banget sih sama effort di packagingnya. Kameranya juga lucu banget dan udah di tes juga dia berfungsi dengan baik hehehe ❤️",1
fungsi sesuai yg ditawarkan  anak senang sekali,1
packingnya 💯 kameranya 💯💯 dapet bonus totebag juga 💙 pengiriman cepat benerbener dikirim di hari itu juga.,1
packing rapi,1
"Produk sesuai, berfungsi dengan baik , packing aman 👍",1
"respon penjual sangat ramah, pengiriman sameday 8jam, pesen jam 12 siang td jam 16.30 sampe senang sekali. makasi seller❤️",1
"packagingnya rapi banget. gak ada penyok2. Setelah dicoba juga kameranya oke, dapet banyak banget bonusnya whaha bahagia ❤️✨️",1
"Packingan sangat mantap, kualitas kamera lebih baik dari yang saya kira.",1
"Kameranyaa sampai dengan selamat dengan bubble wrap berlapis. Dapet bonus memory card 8 Gb, ďan bisa dipake juga. Kameranya lucuuy gemoy dan bisa mengambil foto dengan ba... ",1
fast respon & pengiriman cepat,0
"Produk Sesuai Deskripsi, Mantap",1
"packing rapih, barang sesuai, hanya pengiriman sameday telat 3hr krn kurir.. seller ramah dan membantu cek kurir, thanks",0
"Pertama kali beli di Filmonkish dan ternyata dapet printilan banyak bangett. Mulai dari mini totebag, strap leher, tas kamera, sd card, stiker, dll 💯",0
packaging rapi. produk bagus. tp sayang nya lensanya ttp terbuka (terlihat pada gambar) . tidak ada tombol untuk menutup lensa.,0
super!,1
"sempet takut karna jatoh  dari atas, pas dibuka ternyata aman bgt banyak bgt bubble wrap nya🤩",1
"Cepat sampai, packingannya rapi dan bagus, barang sampai dalam keadaan baik.",0
"PACKAGING AMAN BANGET, Bubble wrapnya juga banyak.

kalo kualitas gambar ya lumayan lah",1
BAGUS BGTTT,0
"got my first digicam! aaa suka, lucuuu, filternya jg gemass skalii, adminnya baik bgt huhu dibantu jelasin ini ituu! loff thank u filmonkish!",1
"barang diterimaa baguss bgtt, puas, seller juga ramahh",1
Bagus,0
baguss bangett🤩😍😍,1
"baguss banget kameranya jernih enteng juga, worth it tk buy bnget dngan harga sgtu ga mengecewakan, adminnya jg ramah bngt akh mnta buru"" krn emg mau di pke dan bener... ",1
Kerennghhhuhuuhiooh,1
keren bagus mantap,1
"mantapp barang sangat bagus,sangat sesuai deskripsi,adminnya juga keren respon cepat🙂
terima kasih adminn semoga jadi langganan iyaa🙂🙂",1
"packing aman banget, kameranya bagus  semuanyaa bagus,i love it💝",0
kereeen,1
suka banget. cocok untuk pemula kaya aku,1
"double packing jadi aman, terima kasih admin filmonkish sudah membantu mengirimkan lebih awal dari preorder 20 hari 🥺💐",1
Akhirnya aku punya satuuuuu!! Ada juga barang ready. Adminnya bintang kejora deh ga lagi bintang 5!,1
"Packingnya aman dan rapi, tidak ada kerusakan, kartu memori berfungsi dengan baik, dan ternyata lebih kecil dan ringan dari perkiraan saya. Hasil fotonya blum ada, jadi n... ",1
"packing aman, product oke punya",1
"baguss bngtt hasilnya jg lucu apalagi buat domentasi sm tmn"" 😻😻😻🤍🤍",1
packaging rapi dan complete,1
"akhirnya sampai,ini termasuk wishlist aku,hasilnya vintage bagus aku suka,cuman layarnya terlalu terang bagi aku,mimin nya juga super ramah meskipun aku banyak tanya,teri... ",1
"Barang sesuai gambar, berfungsi dengan baik ternyata gasampe 30 hari po nya, ringannn bangettttt",1
good point,1
Overall perfect,1
bagus bgtt cepet nyampeee luv itt sampe beli 2 karena buat temen trs bagus bangettt💛💛💛💛💛 hasilnya jug bagus kayak kamera ip jernih bgt,0
Kualitas gambar cukup bagus buat yang nyari looks vintage tanpa harus pake analog an edit editan. Build quality masih bisa ditingkatkan,0
"kameranya mantap, landing dengan selamat",1
kerenn bangett buat pemula oke lahh hasilnya juga lumayann ⚘️🤩🫶,1
"mengkeren, isi lengkap, sangat lucu, pengemasan aman, datang lebih cepat dr estimasi",0
mantappp,1
"overall bagus bgt, tp syng bgt layar masih tft belum lcd jd kurang nyaman dimata lihat layar nya,",1
"Sampe juga, lebih cepat dari perkiraan.",1
"Barang lengkap sesuai deskripsi, produk aman dan stikernya gemes bangeeet. Seller juga ramah dan sabar setiap ditanya progress pengiriman barang. Thank you, Filmonkish!",1
"Nanti aja reviewnya, masih seru ngotak ngatik kameranya. 😂👌🏼",1
"dikirim kurang dari 30hri, happy bngett. semua aman, packingnyaa rapi, dapat hadiah lagii. 🤩🤩🤩",1
akhirnya bisa di coret dari wishlist💜💜,1
"cepet banget pengirimannya, dan pengemasannya oke banget dijamin aman kameranya, mudah dipelajari juga kameranya. Filternya banyakk banget sampe bingung yang bagus yang m... ",1
"PO sebulan tapi belum 2 minggu udah dateng, respon cepat, packing rapi, double box jadi amannn🔥",1
"barang sesuai deskripsi,kelengkapan Ok👍",0
"pengiriman aman sicepat, lama sampai karena pre-order.. barang oke, kelengkapan lengkap, ada otg USB, micro-sd 8Gb, kabel, batre + cameranya, oke, sesuai price .. anaknya... ",1
akhirnya nyampe juga hehe. utk sementara ini semua berfungsi dengan baik. semua oke . tidak ada cacat . karna sebelumnya udah liat tutorial cara pasang ini itu nya sama n... ,1
kameranya bagus🫰,1
bagus kameranya,0
"safely arrived! Aku kira bakal dikirim tanggal 15 Januari karna pesen tanggal 21 Des dan ternyata sekitar tanggal 1/2 udah di kirim 😭 Semua fitur so far ga ada error, pa... ",0
"SUKA BANGET!!!!!!! AARGHHHH 
ku awalnya ingin black tp malah direkomendasi silver tp di tengah ngerasa ga serk jadi minta ganti via chat dan di acc!! seneng bgttt!!! poko... ",1
adaptor micro SD rusak,0
Packingnya sangat amannnn dan barang cepst sampai,1
akhirnya nyampe,1
"packingnya super duper safe, finallyy got my wishlist🥹🥹🤍🤍🤍 thank you fmo🤍",1
"makasih, barang sesuai pesanan",1
"sampaaaiiiiii! naisss produk oke seller ramah overall nais! thanks mib
n",1
"po nya nggak lama sih, barangnya bagus, lengkap, dan hasil fotonya juga bagus!",0
mantap sekali,1
"akhirnya yang ditunggu datang jugaa, overall aman dan packing nya juga aman, dapat gift juga
hasilnya pun juga baguss",1
"Baguss bangettt,dapat gift juga. Terimakasih kak😍🙏🏻",1
good banget suka banget sama tampilannya,1
hasil foto sesuai harga,1
"thank uuu, next mau beli yg seri lain",1
"packing rapihh, kameranya lucu bangat, terima kasih",1
"lega packing'an aman rapih tidak lecet,
nice camera👍",1
"lega karena packingnya aman, barang aman, semoga awet, foto lumayan baguss",1
such a great camera! 10/10,1
alhamdulilkah pengirimannya lebih cepat dan aman,1
kabel cas tidak berfungsi,1
"SELALU KEREN!! 📸✨
Kedua kalinya beli disini karena sebagus itu dan pelayanannya super duper ramah 

Packing sangat aman, produk yg dikirimkan juga lengkap dengan kondisi... ",1
Love it,1
"sudah mendarat dengan selamat... terima kasih.. packing aman banget, double warp dan kardus... isi lengkap plus gift... tadi udah coba bagus, semoga aman semua hehe.. kec... ",1
"cihuyyy akhirnya datang jugaa, nunggu PO sampe sebulan ternyata lama Bangetttt😞, tapii setelah barang nya Dateng langsung terpuaskann!!! packaging super amannn, isi nya... ",1
thx u jadi punya dua dari filmonkish❤️,1
Baguss banget,1
"lega packing ny aman, barang oke semua fitur berfungsi baik, dtg lebih cepat dr jadwal thanks",1
"Setelah sekian lama akhirnya dtng jg. produk sesuai deskripsi, walaupun tombol perekamnya kyak mau copot. Tp over all bagus. Makasih.",1
"kameranya udah sampe, kondisinya bagus mulus, cuma ga dapet merchandisenya? tapi gpp, thanks buat admin yg baik dan sabar sekalii",1
Terima kasih kak....trusted seller ...makasih juga bonus jam nya,1
"finally it's come thx u for admin yg resposif banget gercep klau ada yg di tanya, it's make me enjoy to my journey",1
"barang sesuai, untuk lampu flashnya agak lepas
 tapi berfungsi normal. its ok lah
untuk lainnya bagus sesuai harga +dpt bonus jam tangan",1
"Kondisi kamera normal, masih ngulik, hasil foto bagus, semoga awet, makasih min free jamnya hehe",1
akhirnya kamera yang ditunggu² ini dateng. setelah sekian lama PO. semoga awet yaahh..,1
"baru bisa kasi rate packing super aman, barang ya oke sesuai harga tapi gatau bsk kedepannya cam ini gmn, kualitas foto bagus tapi menurut aku min di memo karna cmn kecil",1
"overall kamera worth, tapi ttp ad kurangnya di produk yang saya dapet.",1
baguussss,1
"Packing aman, fitur lengkap, hasil jepretan foto juga oke banget.",1
"Senang-nya masih kebagian PO 🙏, kamera nya ringan dengan fitur lengkap dapet bonus yang lengkap juga. Barang datang lebih cepat dari perkiraan PO, yang penasaran dengan... ",1
"barangnya bagus, packingnya juga aman, adminnya super ramah. minesnya agak lama aja nunggu barangnya dikirim",1
Puas sekali,1
"keren semua, speechless deh saking bagusnya",1
"kerrennn kerennnn, makasii juga buat filmonkish karna dikirim duluan, pas banget besok mau ada acara, jadi bisa buat dokumentasi, suksess terusss yaaa<3",1
sangat membantu prosesi fotografi & dagang cilor saya. mantep banget!  💅✨,1
Cameranya bagus POnya juga cepat mantap👏,0
"Yeeeyy!!!! Sampaaaaaaii. terima kasih min. paket aman ditujuan. 😊🙏
terima kasih juga note ucapannya tidak lupa.",1
"Akhirnyaaaa sampai jugaaaa😭🥰
Semua berfungsi dengan baikkkk, ga ada yg cacat sedikitpunnn🫶🏻 ini bagussss banget , ikut PO hampir 1 bulan kurang awalnya raguuu takut g... ",0
mantab,1
puas.. suka sma vibenya.. nunggu lama ttp worth it.. kaget dtengnya lbih cpet.. tq filmonkish..,1
"packing bagus rapi aman. 
pengiriman cpt sekali cm 4hari ke Sumut. 
adminnyaa masyallah baik sekali, sy req segera dikirim bisa di lakukan. 
free bnya banyak. 
kameranya... ",0
"barang sudah diterima, sesuai dgn fotondan deskripsi, perlengkapan kumplit, dan berfungsi dengan baik, recommended seller",0
"Packingan rapi, untuk kameranya sendiri bagus, bahan kameranya ga begitu suka. Tapi hasil kameranya sangat bagus, cocok bagi yg mau mencoba potret vintage atau retro vibe... ",1
"sesuai dengan pesanan, terima kasih",1
semoga awet dan hasil bagus,1
"akhirnya yg ditunggu dtg juga, tp cepet sih ga nyampe 1 bulan.👍",1
Kinerja produk baik,1
Thanksss kak camera nya udh sampe dengan selamat,1
nice,1
Ga pernah kecewa sama Filmonkish!!,1
"Mantap sihh, berfungsi dengan baik kameranya. Suka banget dengan mainan baru ini.

ini hasil foto2 nya:",1
"akhirnya sampe dengan selamat, seneng juga karena packing aman banget jadi kameranya ga kebentur², baru lihat hasilnya dihp dan ternyata lumayan buat pemula kayak aku, mi... ",1
"Akhirnya dateng yey! First impression, aku ngga expect kameranya seringan itu, jadi terkesan ringkih tapi memang sesuai harga. Lalu aku ngga dapat merch filmonkish :( ter... ",1
"sebenarnya bagus sih, tp sangat disayangkan flash nya tu cmn bisa jarak deket :( but overall bagus barang nya",0
barang sampai dengan selamat. cocok untuk treveler light weight.,1
"gatau memory gatau kameranya , kalau lihat hasil foto foto di galery kadang macet terus kalau udah dipindah ke komputer atau ke hp kadang ada foto yg error , ntah itu dar... ",1
"packing nya ama dan rapih, di kasih banyak freebies lucu bangett 🥹 pokoknya 100% worth the wait. belom di buka soalnya untuk kado",0
"Overall great I like it, saya dapat totebag gratis dan barang datang lebih cepat dari perkiraan pre order, namun saya mau menyampaikan beberapa kekurangan yang saya alami... ",1
"packing oke, kualitas sesuai harga. memang cocok buat capture moment dengan feel digicam",1
kerennnn terbaikkk..,1
baguss banget worth it,1
"Barang sudah diterima, ternyata PO-nya nggak lama. Bonusnya juga banyak",1
bagus bangettt. makasih Mimin yang udh tanggap 🙌,1
Packing nya bagus banget.. Dapet tote bag juga.. Hasil dan pengalaman make kamera ini sangat memuaskan mengingat harganya yang murah.. Saya ga tau yg lain mengalami hal y... ,1
👍🏻,1
lumayan,0
"murah dan cukup berkualitas, sepadan lah",1
"pelayan bagus dijawab dengan sopan dan sabar, hasil gambar bagus bgt, memang awalnya dikamera keliatan agak kurang jelas tp setelah dipindahkan ke laptop atau hp gambar s... ",1
"Packing ama ....sesuai jadwal...buat hadiah, dan anak suka",1
the best,1
👍,1
"respon cepat,barang sesuai..baru nyoba2 belum kondisi berkendara",1
"Sudah dicoba, dan cukup bagus untuk harganya! Tapi buat kalian yang pengen rekam 4k, sd card bundling dari akaso tidak bisa digunakan, hanya mentok di 2,7k tapi saran 144... ",0
